,bioguide,yeses,nos,abstentions,imageurl
0,A000360,79,18,3,images/A000360.jpg
1,B001230,29,71,0,images/B001230.jpg
2,B001261,81,18,1,images/B001261.jpg
3,B001267,36,64,0,images/B001267.jpg
4,B001277,30,69,1,images/B001277.jpg
5,B000575,82,16,2,images/B000575.jpg
6,B001288,24,76,0,images/B001288.jpg
7,B001236,83,17,0,images/B001236.jpg
8,B000944,36,64,0,images/B000944.jpg
9,B001135,83,17,0,images/B001135.jpg
10,C000127,32,68,0,images/C000127.jpg
11,C001047,83,17,0,images/C001047.jpg
12,C000141,35,65,0,images/C000141.jpg
13,C000174,33,62,5,images/C000174.jpg
14,C001070,33,67,0,images/C001070.jpg
15,C001075,82,17,1,images/C001075.jpg
16,C000567,82,18,0,images/C000567.jpg
17,C001035,87,13,0,images/C001035.jpg
18,C001088,33,57,10,images/C001088.jpg
19,C001071,80,18,2,images/C001071.jpg
20,C001056,82,18,0,images/C001056.jpg
21,C001113,39,61,0,images/C001113.jpg
22,C001095,83,17,0,images/C001095.jpg
23,C000880,84,16,0,images/C000880.jpg
24,C001098,82,15,3,images/C001098.jpg
25,D000618,84,16,0,images/D000618.jpg
26,D000607,47,50,3,images/D000607.jpg
27,D000622,32,68,0,images/D000622.jpg
28,D000563,32,66,2,images/D000563.jpg
29,E000285,81,18,1,images/E000285.jpg
30,E000295,83,17,0,images/E000295.jpg
31,F000062,24,52,24,images/F000062.jpg
32,F000463,83,17,0,images/F000463.jpg
33,F000444,83,15,2,images/F000444.jpg
34,F000457,33,67,0,images/F000457.jpg
35,G000562,83,17,0,images/G000562.jpg
36,G000555,24,76,0,images/G000555.jpg
37,G000359,82,15,3,images/G000359.jpg
38,G000386,82,18,0,images/G000386.jpg
39,H001075,28,72,0,images/H001075.jpg
40,H001076,36,64,0,images/H001076.jpg
41,H000338,81,19,0,images/H000338.jpg
42,H001046,31,68,1,images/H001046.jpg
43,H001069,55,45,0,images/H001069.jpg
44,H001041,90,10,0,images/H001041.jpg
45,H001042,32,68,0,images/H001042.jpg
46,H001061,83,17,0,images/H001061.jpg
47,I000024,82,17,1,images/I000024.jpg
48,I000055,53,18,29,images/I000055.jpg
49,J000293,83,17,0,images/J000293.jpg
50,K000384,37,62,1,images/K000384.jpg
51,K000393,84,16,0,images/K000393.jpg
52,K000383,54,46,0,images/K000383.jpg
53,K000367,36,64,0,images/K000367.jpg
54,L000575,84,16,0,images/L000575.jpg
55,L000174,32,67,1,images/L000174.jpg
56,L000577,82,18,0,images/L000577.jpg
57,M001183,60,40,0,images/M001183.jpg
58,M000133,28,71,1,images/M000133.jpg
59,M000303,81,16,3,images/M000303.jpg
60,M001170,42,56,2,images/M001170.jpg
61,M000355,81,18,0,images/M000355.jpg
62,M000639,36,64,0,images/M000639.jpg
63,M001176,25,75,0,images/M001176.jpg
64,M000934,83,16,1,images/M000934.jpg
65,M001153,81,18,1,images/M001153.jpg
66,M001169,33,65,2,images/M001169.jpg
67,M001111,30,70,0,images/M001111.jpg
68,N000032,38,62,0,images/N000032.jpg
69,P000603,72,24,4,images/P000603.jpg
70,P000612,82,18,0,images/P000612.jpg
71,P000595,34,65,1,images/P000595.jpg
72,P000449,82,18,0,images/P000449.jpg
73,R000122,34,66,0,images/R000122.jpg
74,R000584,84,16,0,images/R000584.jpg
75,R000307,82,18,0,images/R000307.jpg
76,R000605,82,18,0,images/R000605.jpg
77,R000595,81,18,1,images/R000595.jpg
78,S000033,23,74,3,images/S000033.jpg
79,S001197,82,17,1,images/S001197.jpg
80,S001194,35,64,1,images/S001194.jpg
81,S000148,31,69,0,images/S000148.jpg
82,S001184,84,16,0,images/S001184.jpg
83,S001181,36,64,0,images/S001181.jpg
84,S000320,82,18,0,images/S000320.jpg
85,S000770,35,65,0,images/S000770.jpg
86,S001198,82,17,1,images/S001198.jpg
87,T000464,41,59,0,images/T000464.jpg
88,T000250,84,16,0,images/T000250.jpg
89,T000476,81,14,5,images/T000476.jpg
90,T000461,82,17,1,images/T000461.jpg
91,U000039,30,69,1,images/U000039.jpg
92,V000128,30,70,0,images/V000128.jpg
93,W000805,42,55,3,images/W000805.jpg
94,W000817,25,75,0,images/W000817.jpg
95,W000802,33,67,0,images/W000802.jpg
96,W000437,80,20,0,images/W000437.jpg
97,W000779,28,71,0,images/W000779.jpg
98,Y000064,83,17,0,images/Y000064.jpg
